S1,S2
404678.9740962564,233.16967176808518
404699.0159004863,233.06661633144685
404648.7696331973,232.9697278333396
404624.6469265901,234.25526909538726
404645.5284000888,234.2707489529382
404630.4166104073,234.1512793742653
404649.09985121223,233.83741856142856
404619.5526570664,233.84111066740815
404691.18809785857,233.68140840793706
404637.3044593118,234.03720611111638
404656.0544878387,234.24544644408996
404652.6310167723,234.28009891084844
404698.37065927,234.19991988066337
404667.4560709945,234.254772314839
404665.7220602388,234.264210587629
404651.7775983935,234.2603631203563
404647.7236730471,234.37514242809144
404639.5904536524,234.40435163218018
404576.9662680424,234.54558242151128
404633.1049689264,233.8736362031735
404625.9096635375,233.88240861367854
404643.5335453562,234.18090141799144
404647.2168810704,234.18061705395328
404621.1065596072,233.86349799872596
404604.8149103767,233.89204790860776
404612.92708299385,233.8547363260174
404619.8031014527,231.96738536106616
404693.3047730479,232.9598908572544
404673.5148495447,233.2743457359846
404660.88617176685,233.24178284843526
404634.50870940584,233.00193083603682
404625.4587356446,232.67421072473334
404652.767264034,233.01639345495727
404677.27082838403,233.2705676208374
404707.74847910536,233.26443823470603
404667.10406538483,233.275420832444
404619.2249379934,232.74745893565137
404632.4870984778,232.75033903782753
404625.7021523869,232.8353846006956
404671.7217858839,233.3443519766601
404661.1635059768,233.05705269586815
404617.12278558733,232.77464933610725
404612.6433687687,232.59658363845202
404607.498725808,232.89636379114947
404601.8516285639,232.6207878795686
404606.55325644184,232.65280010138926
404613.8573388427,232.65214615002733
404597.1272444492,232.6027593937464
404591.0574221926,232.60981028921438
404582.3635433174,232.60056290122813
404598.7332835936,232.5897481162087
404698.7323652436,233.16619737306388
404688.1104492269,233.78415502628812
404754.95617220463,232.29105244776355
404741.2154665759,232.3222350788768
404773.01669581805,232.80897998516937
404768.6970797889,232.83802965147163
404748.02548827056,232.89889985538352
404688.5753078763,232.78698471572218
404692.3607500982,232.7711377066142
404741.99815045623,232.87496400387877
404727.32589746395,232.79073094622484
404728.0069218854,232.76251091808845
404696.65793092723,233.9559034094725
404724.0511210403,233.90389460079018
404749.8944689807,233.86560730300675
404767.4864507454,233.47449625981056
404801.67472285865,233.4212883235077
404805.429894957,233.38830371293946
404739.37095805636,234.81838647563015
404734.54820667475,233.5384597328663
404725.48158936837,233.23356225242628
404716.75729832606,233.85436824373747
404718.7029910772,233.85288883732628
404757.2654182752,234.35359232404423
404722.23554348835,234.4066334173989
404748.7876939279,234.4166165047933
404785.32908474543,234.1054496462777
404768.190382882,233.08918132941804
404753.0884980832,234.04699526373116
404778.11315893463,233.99632635951627
404751.736602409,234.28159779585778
404759.3062836813,234.26279254775955
404750.1970233419,234.25406187775934
404718.47185659455,234.18702745515796
404712.91648545,234.37371698264585
404714.7382205534,233.97496243288268
404725.9299320635,234.34071274422865
404716.200240666,234.5535015836401
404763.6101377,234.19661598404537
404728.1113868095,233.9219166108644
404753.01727933285,234.54009877115797
404716.9407278771,234.91847958440425
404718.18576814036,234.15808532632485
404715.1257624953,233.90035488848895
404721.53005372186,233.8560231697968
404730.02365392435,233.93437225297473
404723.49456944846,233.66539546961428
404739.0593799863,233.71665575607096
